id,name,description,created_at,updated_at160772271,abdurrehman135/CoolDown-TO,Android app that uses your phone's location and the Toronto AC locations API to find you the nearest publicly accessible air conditioned area.,2018-12-07T04:49:40Z,2019-06-03T03:22:03Z
16431468,JakeWharton/double-espresso,[DEPRECATED] A pure Gradle port of the Espresso testing utility for Android!,2014-02-01T09:36:38Z,2020-02-16T11:37:02Z
11718829,JakeWharton/ActionBarSherlock-Gradle-Sample,[DEPRECATED] A tiny sample project that uses ActionBarSherlock via Gradle,2013-07-28T11:19:58Z,2019-12-17T17:12:14Z
1657204,JakeWharton/domainr-java,A Java wrapper around the Domainr API and a simple DSL for easy interaction.,2011-04-24T17:42:34Z,2019-12-30T14:16:59Z
8441757,JakeWharton/gms-mvn-install,[DEPRECATED] Installs Google Play Services to your local Maven repo or deploys it to a remote repo.,2013-02-26T20:52:54Z,2019-08-13T15:16:46Z
6695331,sergiandreplace/AndroidFontInflaterFactory,An example on how to create an InflaterFactory that changes the font of all widgets,2012-11-14T21:35:54Z,2015-11-02T00:44:18Z
38564442,sergiandreplace/bare-conductive-html-frontend,An html frontend consuming the bare conductive Python websocket server + driver,2015-07-05T09:59:48Z,2015-07-05T10:03:48Z
32651976,sergiandreplace/catdroid-finappsparty-encaixat,Automatically exported from code.google.com/p/catdroid-finappsparty-encaixat,2015-03-21T22:07:03Z,2015-03-21T22:07:45Z
134141955,sergiandreplace/flutter_appodeal,A Flutter plugin for appodeal,2018-05-20T10:46:23Z,2019-08-03T23:31:38Z
48993983,sergiandreplace/AndroidSwipeLayout,The Most Powerful Swipe Layout!,2016-01-04T11:50:24Z,2016-01-04T11:50:25Z
17940108,sergiandreplace/Android-Switch-Demo-pre-4.0,None,2014-03-20T11:29:49Z,2014-09-28T15:59:19Z
199200953,sergiandreplace/coroutines_playground,None,2019-07-27T18:34:08Z,2019-07-27T18:42:36Z
104641121,sergiandreplace/51-android,Setting up an android Device for Development,2017-09-24T12:10:02Z,2017-09-24T12:09:15Z
32652018,sergiandreplace/appunta,Automatically exported from code.google.com/p/appunta,2015-03-21T22:08:48Z,2016-07-22T07:21:41Z
246382855,sergiandreplace/cyf_ecommerce_api,Another api exercise,2020-03-10T18:54:06Z,2020-03-21T13:30:31Z
21812873,sergiandreplace/Android-FlipBook,An Android component that has a flipping animation,2014-07-14T08:39:42Z,2014-06-23T09:12:32Z
14499643,sergiandreplace/1000pigs,None,2013-11-18T17:27:07Z,2014-02-08T09:59:52Z
37678328,sergiandreplace/bare-conductive-python-sdk,A simple sdk to interact with the Bare Conductive board from python,2015-06-18T18:50:37Z,2016-04-02T05:56:11Z
234709560,sergiandreplace/clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript,2020-01-18T09:16:01Z,2020-01-18T09:16:03Z
129800021,sergiandreplace/flutter_bcn_challenges,None,2018-04-16T20:15:18Z,2019-08-03T23:36:44Z
56337770,sergiandreplace/dummy,None,2016-04-15T17:23:24Z,2016-04-15T17:23:24Z
88032788,sergiandreplace/BadgeView,a BadeView  base on android,2017-04-12T09:13:54Z,2017-04-12T09:13:55Z
52738156,sergiandreplace/bash-it,A community Bash framework.,2016-02-28T19:07:52Z,2016-02-28T19:07:54Z
32651951,sergiandreplace/catdroid-vallfosca,Automatically exported from code.google.com/p/catdroid-vallfosca,2015-03-21T22:06:11Z,2015-03-21T22:06:50Z
32652002,sergiandreplace/bcnappsjam-apparca,Automatically exported from code.google.com/p/bcnappsjam-apparca,2015-03-21T22:08:08Z,2015-03-21T22:08:51Z
47033227,sergiandreplace/electron,Build cross platform desktop apps with web technologies,2015-11-28T17:41:28Z,2016-04-04T19:25:48Z
36100943,sergiandreplace/canvas_workshop,Exercises from the "It's the arts! Playing around with the Android Canvas" workshop,2015-05-23T00:21:26Z,2018-05-17T22:31:07Z
122098237,sergiandreplace/flutter_animations,A list of samples of animations on Flutter based on a tutorial on sergiandreplace.com,2018-02-19T17:41:48Z,2020-01-03T18:52:51Z
94126825,sergiandreplace/chainsmokers,A simple project to play around with Kotlin,2017-06-12T18:17:26Z,2017-09-01T05:48:44Z
51781133,sergiandreplace/breadcrumbview,A view to draw breadcrumbs from a given path,2016-02-15T19:51:22Z,2016-02-15T19:51:23Z
245623796,sergiandreplace/cyf_hotels_api,Api for the class,2020-03-07T11:54:04Z,2020-03-17T20:41:03Z
